release_date,title,budget,revenue
1952-01-10,The Greatest Show on Earth,4000000.0,36000000.0
1952-03-27,High Noon,730000.0,8000000.0
1952-04-10,Singin' in the Rain,2540800.0,7200000.0
1952-05-08,Scaramouche,3005000.0,6746000.0
1953-01-26,Niagara,1250000.0,8500000.0
1953-02-05,Peter Pan,4000000.0,87404651.0
1953-04-10,House of Wax,658000.0,23800000.0
1953-04-11,Titanic,1805000.0,4905000.0
1953-04-23,Shane,3100000.0,20000000.0
1953-06-13,"The Beast from 20,000 Fathoms",210000.0,5000000.0
1953-06-25,Robot Monster,16000.0,1000000.0
1953-08-13,The War of the Worlds,2000000.0,2000000.0
1953-08-28,From Here to Eternity,1650000.0,30500000.0
1953-09-02,Roman Holiday,1500000.0,12000000.0
1953-09-16,The Robe,4100000.0,36000000.0
1954-04-26,Seven Samurai,2000000.0,271841.0
1954-05-29,Dial M for Murder,1400000.0,3000000.0
1954-06-22,On the Waterfront,910000.0,9600000.0
1954-06-24,The Caine Mutiny,2000000.0,21750000.0
1954-08-01,Rear Window,1000000.0,36764313.0
1954-08-25,The Egyptian,5000000.0,15000000.0
1954-09-28,Sabrina,2238813.0,10000000.0
1954-12-20,The Silver Chalice,4500000.0,3200000.0
1954-12-23,"20,000 Leagues Under the Sea",5000000.0,28200000.0
1955-01-07,Bad Day at Black Rock,1271000.0,3788000.0
1955-02-15,The Fast and the Furious,66000.0,250000.0
1955-03-09,East of Eden,1.0,5.0
1955-04-11,Marty,343000.0,3000000.0
1955-08-03,To Catch a Thief,2500000.0,8750000.0
1955-10-03,The Trouble with Harry,1200000.0,7000000.0
1956-03-15,Forbidden Planet,1900000.0,3250000.0
1956-05-30,Trapeze,4000000.0,14400000.0
1956-06-01,The Man Who Knew Too Much,2500000.0,10250000.0
1956-06-27,Moby Dick,4500000.0,10400000.0
1956-06-29,The King and I,4550000.0,21300000.0
1956-07-03,Somebody Up There Likes Me,1920000.0,3360000.0
1956-08-21,War and Peace,6000000.0,12500000.0
1956-10-05,The Ten Commandments,13000000.0,122700000.0
1956-10-10,Giant,5400000.0,35000000.0
1956-10-17,Around the World in Eighty Days,6000000.0,42000000.0
1956-11-15,Love Me Tender,1000000.0,9000000.0
1956-12-22,The Wrong Man,1200000.0,2000000.0
1957-03-25,12 Angry Men,350000.0,1000000.0
1957-06-19,I Was a Teenage Werewolf,82000.0,2000000.0
1957-10-02,The Bridge on the River Kwai,3000000.0,27200000.0
1957-12-17,Witness for the Prosecution,3000000.0,9000000.0
1957-12-17,Legend of the Lost,1750000.0,2200000.0
1958-02-17,Cat on a Hot Tin Roof,3000000.0,17570324.0
1958-03-18,South Pacific,6000000.0,36800000.0
1958-04-23,Touch of Evil,829000.0,2247465.0
1958-05-09,Vertigo,2479000.0,28000000.0
1958-05-19,Attack of the 50 Foot Woman,88000.0,480000.0
1958-07-16,The Fly,700000.0,3000000.0
1958-10-01,Macabre,90000.0,5000000.0
1959-01-28,Sleeping Beauty,6000000.0,51000000.0
1959-03-18,Some Like It Hot,2883848.0,25000000.0
1959-06-18,The Nun's Story,3500000.0,12800000.0
1959-07-07,North by Northwest,4000000.0,13275000.0
1959-12-25,Solomon and Sheba,5000000.0,12200000.0
1959-12-26,Ben-Hur,15000000.0,146900000.0
1960-03-27,Exodus,4000000.0,21750000.0
1960-04-06,Peeping Tom,150000.0,83957.0
1960-05-24,Never on Sunday,151000.0,8000000.0
1960-06-15,The Apartment,3000000.0,25000000.0
1960-06-16,Psycho,806948.0,32000000.0
1960-06-19,Elmer Gantry,3000000.0,10400000.0
1960-06-21,House of Usher,270000.0,1450000.0
1960-07-20,The Bellboy,900000.0,10000000.0
1960-10-06,Spartacus,12000000.0,60000000.0
1960-10-22,The Magnificent Seven,2000000.0,4905000.0
1960-10-23,The Alamo,12000000.0,7900000.0
1960-12-18,Cinderfella,3000000.0,7100000.0
1961-01-01,The Misfits,4000000.0,8200000.0
